episode,time,TTL,DECISION,LINK_CAP,NODE_CAP
1,0,0,0,0,0
1,100,0,0,0,6
1,200,0,0,0,12
1,300,0,0,0,19
1,400,0,0,0,27
1,500,0,0,0,34
1,600,0,0,0,42
1,700,0,0,0,49
1,800,0,0,0,57
1,900,0,0,0,65
1,1000,0,0,0,70
1,1100,0,0,0,77
1,1200,0,0,0,84
1,1300,0,0,0,93
1,1400,0,0,0,98
1,1500,0,0,0,102
1,1600,0,0,0,111
1,1700,0,0,0,119
1,1800,0,0,0,124
1,1900,0,0,0,132
1,2000,0,0,0,139
1,2100,0,0,0,147
1,2200,0,0,0,154
1,2300,0,0,0,162
1,2400,0,0,0,169
1,2500,0,0,0,178
1,2600,0,0,0,186
1,2700,0,0,0,195
1,2800,0,0,0,202
1,2900,0,0,0,209
1,3000,0,0,0,217
1,3100,0,0,0,226
1,3200,0,0,0,234
1,3300,0,0,0,241
1,3400,0,0,0,249
1,3500,0,0,0,254
1,3600,0,0,0,263
1,3700,0,0,0,271
1,3800,0,0,0,277
1,3900,0,0,0,285
1,4000,0,0,0,292
1,4100,0,0,0,300
1,4200,0,0,0,308
1,4300,0,0,0,315
1,4400,0,0,0,320
1,4500,0,0,0,328
1,4600,0,0,0,334
1,4700,0,0,0,343
1,4800,0,0,0,352
1,4900,0,0,0,359
1,5000,0,0,0,366
1,5100,0,0,0,375
1,5200,0,0,0,381
1,5300,0,0,0,388
1,5400,0,0,0,395
1,5500,0,0,0,403
1,5600,0,0,0,410
1,5700,0,0,0,416
1,5800,0,0,0,424
1,5900,0,0,0,432
1,6000,0,0,0,440
1,6100,0,0,0,446
1,6200,0,0,0,453
1,6300,0,0,0,464
1,6400,0,0,0,472
1,6500,0,0,0,479
1,6600,0,0,0,487
1,6700,0,0,0,495
1,6800,0,0,0,501
1,6900,0,0,0,509
1,7000,0,0,0,515
1,7100,0,0,0,522
1,7200,0,0,0,530
1,7300,0,0,0,539
1,7400,0,0,0,545
1,7500,0,0,0,552
1,7600,0,0,0,561
1,7700,0,0,0,570
1,7800,0,0,0,578
1,7900,0,0,0,585
1,8000,0,0,0,595
