episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,0,1,0,0,1,0
1,100,10,3,6,1,23.0
1,200,20,8,12,0,25.625
1,300,30,10,19,1,24.7
1,400,40,13,27,0,27.846153846153847
1,500,50,14,34,2,27.428571428571427
1,600,60,16,42,2,28.0625
1,700,70,20,49,1,30.5
1,800,80,22,57,1,32.0
1,900,90,24,65,1,32.0
1,1000,100,28,70,2,31.5
1,1100,110,31,77,2,31.193548387096776
1,1200,120,34,84,2,30.647058823529413
1,1300,130,37,93,0,31.216216216216218
1,1400,140,41,98,1,30.414634146341463
1,1500,150,46,102,2,30.26086956521739
1,1600,160,49,111,0,30.367346938775512
1,1700,170,50,119,1,30.18
1,1800,180,54,124,2,30.24074074074074
1,1900,190,57,132,1,30.57894736842105
1,2000,200,60,139,1,30.516666666666666
1,2100,210,62,147,1,30.774193548387096
1,2200,220,65,154,1,30.861538461538462
1,2300,230,66,162,2,30.651515151515152
1,2400,240,70,169,1,31.042857142857144
1,2500,250,72,178,0,31.069444444444443
1,2600,260,73,186,1,31.10958904109589
1,2700,270,74,195,1,30.972972972972972
1,2800,280,76,202,2,31.013157894736842
1,2900,290,80,209,1,31.2125
1,3000,300,82,217,1,31.29268292682927
1,3100,310,84,226,0,31.154761904761905
1,3200,320,86,234,0,31.174418604651162
1,3300,330,89,241,0,30.8876404494382
1,3400,340,91,249,0,30.75824175824176
1,3500,350,95,254,1,30.91578947368421
1,3600,360,96,263,1,30.8125
1,3700,370,98,271,1,30.683673469387756
1,3800,380,101,277,2,30.801980198019802
1,3900,390,104,285,1,30.846153846153847
1,4000,400,106,292,2,30.62264150943396
1,4100,410,110,300,0,30.681818181818183
1,4200,420,111,308,1,30.55855855855856
1,4300,430,115,315,0,30.860869565217392
1,4400,440,117,320,3,30.905982905982906
1,4500,450,121,328,1,30.768595041322314
1,4600,460,124,334,2,30.741935483870968
1,4700,470,126,343,1,30.555555555555557
1,4800,480,128,352,0,30.6015625
1,4900,490,130,359,1,30.53076923076923
1,5000,500,134,366,0,30.5
1,5100,510,135,375,0,30.42962962962963
1,5200,520,138,381,1,30.44927536231884
1,5300,530,140,388,2,30.514285714285716
1,5400,540,144,395,1,30.444444444444443
1,5500,550,146,403,1,30.404109589041095
1,5600,560,149,410,1,30.322147651006713
1,5700,570,153,416,1,30.483660130718953
1,5800,580,155,424,1,30.425806451612903
1,5900,590,157,432,1,30.388535031847134
1,6000,600,159,440,1,30.50943396226415
1,6100,610,163,446,1,30.533742331288344
1,6200,620,164,453,3,30.548780487804876
1,6300,630,166,464,0,30.602409638554217
1,6400,640,168,472,0,30.625
1,6500,650,169,479,2,30.62721893491124
1,6600,660,172,487,1,30.77906976744186
1,6700,670,175,495,0,30.82857142857143
1,6800,680,178,501,1,30.640449438202246
1,6900,690,181,509,0,30.60220994475138
1,7000,700,183,515,2,30.781420765027324
1,7100,710,187,522,1,30.77005347593583
1,7200,720,189,530,1,30.78306878306878
1,7300,730,191,539,0,30.790575916230367
1,7400,740,194,545,1,30.835051546391753
1,7500,750,197,552,1,30.82233502538071
1,7600,760,198,561,1,30.838383838383837
1,7700,770,200,570,0,30.785
1,7800,780,201,578,1,30.72139303482587
1,7900,790,202,585,3,30.737623762376238
1,8000,800,204,595,1,30.82843137254902
1,8100,810,205,605,0,30.839024390243903
1,8200,820,206,613,1,30.776699029126213
1,8300,830,209,620,1,30.636363636363637
1,8400,840,212,626,2,30.63679245283019
1,8500,850,213,637,0,30.718309859154928
1,8600,860,215,645,0,30.67906976744186
1,8700,870,216,653,1,30.694444444444443
1,8800,880,219,661,0,30.65753424657534
1,8900,890,220,668,2,30.595454545454544
1,9000,900,223,677,0,30.699551569506728
1,9100,910,225,685,0,30.67111111111111
1,9200,920,226,692,2,30.628318584070797
1,9300,930,230,700,0,30.508695652173913
1,9400,940,232,707,1,30.525862068965516
1,9500,950,236,714,0,30.53813559322034
1,9600,960,238,721,1,30.45378151260504
1,9700,970,238,731,1,30.45378151260504
1,9800,980,239,740,1,30.414225941422593
1,9900,990,242,746,2,30.43801652892562
1,10000,1000,246,754,0,30.491869918699187
1,10100,1010,247,763,0,30.441295546558706
1,10200,1020,249,770,1,30.477911646586346
1,10300,1030,252,777,1,30.353174603174605
1,10400,1040,255,784,1,30.337254901960783
1,10500,1050,257,793,0,30.30739299610895
1,10600,1060,259,799,2,30.22007722007722
1,10700,1070,263,807,0,30.20532319391635
1,10800,1080,264,815,1,30.181818181818183
1,10900,1090,267,823,0,30.220973782771537
1,11000,1100,270,830,0,30.22222222222222
1,11100,1110,271,839,0,30.18819188191882
1,11200,1120,273,846,1,30.267399267399266
1,11300,1130,276,853,1,30.253623188405797
1,11400,1140,279,861,0,30.189964157706093
1,11500,1150,282,868,0,30.109929078014183
1,11600,1160,284,876,0,30.12323943661972
1,11700,1170,286,883,1,30.153846153846153
1,11800,1180,289,890,1,30.048442906574394
1,11900,1190,291,897,2,30.116838487972508
1,12000,1200,296,903,1,30.03716216216216
1,12100,1210,298,910,2,29.976510067114095
1,12200,1220,301,918,1,30.023255813953487
1,12300,1230,304,925,1,30.023026315789473
1,12400,1240,306,933,1,29.954248366013072
1,12500,1250,308,940,2,30.01948051948052
1,12600,1260,310,948,2,30.04193548387097
1,12700,1270,315,954,1,30.142857142857142
1,12800,1280,316,962,2,30.15506329113924
1,12900,1290,319,969,2,30.112852664576803
1,13000,1300,322,975,3,30.124223602484474
1,13100,1310,324,984,2,30.145061728395063
1,13200,1320,328,990,2,30.10670731707317
1,13300,1330,331,997,2,30.069486404833835
1,13400,1340,334,1004,2,30.01197604790419
1,13500,1350,336,1013,1,29.946428571428573
1,13600,1360,338,1021,1,29.967455621301774
1,13700,1370,340,1029,1,29.95
1,13800,1380,342,1038,0,30.00877192982456
1,13900,1390,345,1044,1,29.994202898550725
1,14000,1400,348,1052,0,30.017241379310345
1,14100,1410,349,1061,0,29.979942693409743
1,14200,1420,351,1068,1,29.91737891737892
1,14300,1430,353,1076,1,29.855524079320112
1,14400,1440,356,1082,2,29.848314606741575
1,14500,1450,360,1089,1,29.816666666666666
1,14600,1460,363,1095,2,29.785123966942148
1,14700,1470,365,1103,2,29.84109589041096
1,14800,1480,372,1108,0,29.846774193548388
1,14900,1490,375,1113,2,29.802666666666667
1,15000,1500,379,1120,1,29.84168865435356
1,15100,1510,383,1126,1,29.806788511749346
1,15200,1520,385,1135,0,29.83116883116883
1,15300,1530,387,1142,1,29.816537467700257
1,15400,1540,389,1149,2,29.763496143958868
1,15500,1550,392,1158,0,29.755102040816325
1,15600,1560,393,1167,0,29.765903307888042
1,15700,1570,395,1174,1,29.81772151898734
1,15800,1580,397,1183,0,29.770780856423173
1,15900,1590,400,1190,0,29.7375
1,16000,1600,402,1198,0,29.72636815920398
1,16100,1610,404,1205,1,29.747524752475247
1,16200,1620,408,1212,0,29.784313725490197
1,16300,1630,408,1221,1,29.784313725490197
1,16400,1640,410,1230,0,29.741463414634147
1,16500,1650,411,1237,2,29.744525547445257
1,16600,1660,415,1244,1,29.698795180722893
1,16700,1670,418,1250,2,29.732057416267942
1,16800,1680,423,1256,1,29.80851063829787
1,16900,1690,425,1264,1,29.828235294117647
1,17000,1700,427,1273,0,29.875878220140514
1,17100,1710,429,1279,2,29.871794871794872
1,17200,1720,432,1288,0,29.854166666666668
1,17300,1730,433,1296,1,29.861431870669747
1,17400,1740,436,1303,1,29.807339449541285
1,17500,1750,439,1309,2,29.801822323462414
1,17600,1760,441,1318,1,29.811791383219955
1,17700,1770,444,1325,1,29.83783783783784
1,17800,1780,445,1334,1,29.840449438202246
1,17900,1790,446,1343,1,29.82286995515695
1,18000,1800,448,1351,1,29.832589285714285
1,18100,1810,449,1359,2,29.839643652561247
1,18200,1820,454,1365,1,29.898678414096917
1,18300,1830,457,1371,2,29.85995623632385
1,18400,1840,458,1379,3,29.868995633187772
1,18500,1850,462,1388,0,29.852813852813853
1,18600,1860,464,1395,1,29.85991379310345
1,18700,1870,466,1404,0,29.856223175965667
1,18800,1880,468,1411,1,29.873931623931625
1,18900,1890,471,1418,1,29.8343949044586
1,19000,1900,473,1426,1,29.790697674418606
1,19100,1910,476,1434,0,29.78361344537815
1,19200,1920,479,1440,1,29.810020876826723
1,19300,1930,481,1447,2,29.823284823284823
1,19400,1940,484,1456,0,29.789256198347108
1,19500,1950,487,1463,0,29.749486652977414
1,19600,1960,487,1472,1,29.749486652977414
1,19700,1970,489,1481,0,29.711656441717793
1,19800,1980,492,1487,1,29.73780487804878
1,19900,1990,494,1495,1,29.753036437246962
1,20000,2000,496,1504,0,29.743951612903224
1,20100,2010,498,1512,0,29.759036144578314
1,20200,2020,500,1518,2,29.724
1,20300,2030,504,1526,0,29.702380952380953
1,20400,2040,505,1534,1,29.685148514851484
1,20500,2050,507,1543,0,29.644970414201183
1,20600,2060,508,1550,2,29.62795275590551
1,20700,2070,510,1558,2,29.63921568627451
1,20800,2080,514,1565,1,29.642023346303503
1,20900,2090,518,1571,1,29.6003861003861
1,21000,2100,519,1580,1,29.581888246628132
1,21100,2110,521,1588,1,29.5489443378119
1,21200,2120,522,1596,2,29.557471264367816
1,21300,2130,525,1604,1,29.558095238095238
1,21400,2140,526,1613,1,29.566539923954373
1,21500,2150,527,1622,1,29.57495256166983
1,21600,2160,528,1631,1,29.581439393939394
1,21700,2170,530,1639,1,29.59622641509434
1,21800,2180,531,1648,1,29.6045197740113
1,21900,2190,535,1655,0,29.605607476635512
1,22000,2200,538,1660,2,29.611524163568774
1,22100,2210,542,1666,2,29.64022140221402
1,22200,2220,546,1673,1,29.641025641025642
1,22300,2230,548,1680,2,29.67883211678832
1,22400,2240,551,1688,1,29.629764065335753
1,22500,2250,553,1696,1,29.620253164556964
1,22600,2260,556,1703,1,29.609712230215827
1,22700,2270,558,1712,0,29.629032258064516
1,22800,2280,560,1719,1,29.6
1,22900,2290,562,1727,1,29.635231316725978
1,23000,2300,564,1735,1,29.648936170212767
1,23100,2310,566,1743,1,29.6678445229682
1,23200,2320,568,1751,1,29.681338028169016
1,23300,2330,570,1760,0,29.717543859649123
1,23400,2340,572,1768,0,29.72902097902098
1,23500,2350,575,1774,1,29.718260869565217
1,23600,2360,576,1783,1,29.696180555555557
1,23700,2370,578,1791,1,29.714532871972317
1,23800,2380,579,1799,2,29.699481865284973
1,23900,2390,581,1808,1,29.716006884681583
1,24000,2400,582,1817,1,29.743986254295532
1,24100,2410,587,1822,1,29.684838160136287
1,24200,2420,589,1830,1,29.69949066213922
