episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,0,5,0,0,5,0
1,100,47,33,0,14,32.75757576
1,200,97,80,0,17,33.4125
1,300,141,121,2,18,33.62809917
1,400,201,176,2,23,33.36931818
1,500,251,224,6,21,33.50892857
1,600,302,276,9,17,33.60144928
1,700,348,322,10,16,33.59627329
1,800,392,365,11,16,33.55616438
1,900,456,426,11,19,33.53755869
1,1000,509,478,12,19,33.4665272
1,1100,574,544,12,18,33.47242647
1,1200,635,606,13,16,33.40924092
1,1300,695,657,14,24,33.40943683
1,1400,779,739,16,24,33.32611637
1,1500,838,792,20,26,33.33459596
1,1600,908,864,21,23,33.35416667
1,1700,971,923,24,24,33.36294691
1,1800,1032,992,25,15,33.29637097
1,1900,1092,1047,26,19,33.2913085
1,2000,1132,1085,26,21,33.26635945
1,2100,1194,1149,27,18,33.29765013
1,2200,1258,1213,27,18,33.30173124
1,2300,1300,1259,28,13,33.28832407
1,2400,1344,1300,30,14,33.28461538
1,2500,1387,1344,30,13,33.33035714
1,2600,1436,1388,30,18,33.3278098
1,2700,1485,1438,33,14,33.36856745
1,2800,1542,1488,35,19,33.36290323
1,2900,1594,1541,35,18,33.4146658
1,3000,1653,1595,36,22,33.42131661
1,3100,1715,1650,37,28,33.43515152
1,3200,1774,1720,40,14,33.42674419
1,3300,1839,1783,40,16,33.3931576
1,3400,1892,1834,40,18,33.39803708
1,3500,1945,1892,40,13,33.42230444
1,3600,2002,1935,40,27,33.41033592
1,3700,2046,1994,44,8,33.44734203
1,3800,2092,2028,44,20,33.43786982
1,3900,2151,2092,45,14,33.42447419
1,4000,2210,2141,45,24,33.4385801
1,4100,2264,2200,46,18,33.45954545
1,4200,2323,2251,50,22,33.45224345
1,4300,2383,2305,52,26,33.45639913
1,4400,2447,2374,54,19,33.43133951
1,4500,2489,2413,57,19,33.41566515
1,4600,2553,2473,59,21,33.43954711
1,4700,2612,2538,60,14,33.41410559
1,4800,2662,2582,60,20,33.41944229
1,4900,2722,2639,60,23,33.42061387
1,5000,2773,2698,60,15,33.42698295
1,5100,2821,2747,60,14,33.42446305
1,5200,2875,2795,61,19,33.41896243
1,5300,2930,2843,61,26,33.41610974
1,5400,2974,2897,61,16,33.42940973
1,5500,3027,2938,62,27,33.42784207
1,5600,3072,2994,63,15,33.43787575
1,5700,3121,3040,63,18,33.44210526
1,5800,3185,3102,63,20,33.44358478
1,5900,3240,3161,63,16,33.44701044
1,6000,3287,3206,63,18,33.44416719
1,6100,3343,3258,64,21,33.44628607
1,6200,3407,3321,70,16,33.44655224
1,6300,3476,3383,70,23,33.44900975
1,6400,3533,3440,72,21,33.43575581
1,6500,3590,3493,75,22,33.4423132
1,6600,3651,3558,78,15,33.435638
1,6700,3709,3602,79,28,33.43781233
1,6800,3772,3673,80,19,33.4312551
1,6900,3823,3720,81,22,33.4188172
1,7000,3878,3780,81,17,33.42936508
1,7100,3926,3828,82,16,33.42398119
1,7200,3972,3870,84,18,33.43229974
1,7300,4017,3919,84,14,33.43199796
1,7400,4069,3967,84,18,33.44013108
1,7500,4131,4026,86,19,33.44535519
1,7600,4195,4087,87,21,33.43014436
1,7700,4230,4132,89,9,33.42642788
1,7800,4271,4167,89,15,33.43172546
1,7900,4312,4208,89,15,33.43607414
1,8000,4352,4248,91,13,33.44044256
1,8100,4404,4291,92,21,33.43789326
1,8200,4449,4341,93,15,33.44897489
1,8300,4508,4388,93,27,33.44553327
1,8400,4560,4448,94,18,33.45481115
1,8500,4617,4499,95,23,33.45454545
1,8600,4665,4549,95,21,33.45658386
1,8700,4703,4587,99,17,33.44953128
1,8800,4739,4629,99,11,33.45647008
1,8900,4783,4669,99,15,33.44913258
1,9000,4834,4717,99,18,33.45389018
1,9100,4894,4775,100,19,33.45863874
1,9200,4936,4824,102,10,33.45460199
1,9300,4987,4866,102,19,33.45745993
1,9400,5043,4923,103,17,33.45663213
1,9500,5087,4971,103,13,33.44457856
1,9600,5147,5022,103,22,33.4516129
1,9700,5188,5069,103,16,33.44426909
1,9800,5235,5119,103,13,33.44676695
1,9900,5293,5167,103,23,33.44706793
1,10000,5348,5220,107,21,33.43888889
1,10100,5401,5271,108,22,33.44204136
1,10200,5462,5334,115,13,33.43963255
1,10300,5512,5380,115,17,33.43921933
1,10400,5566,5431,117,18,33.44522187
1,10500,5620,5483,118,19,33.44209374
1,10600,5687,5550,118,19,33.44432432
1,10700,5738,5600,120,18,33.44660714
1,10800,5771,5635,120,16,33.44028394
1,10900,5815,5678,121,16,33.4510391
1,11000,5860,5726,121,13,33.44708348
1,11100,5910,5768,121,21,33.43654646
1,11200,5959,5817,123,19,33.44971635
1,11300,6003,5860,126,17,33.44658703
1,11400,6041,5900,127,14,33.45152542
1,11500,6091,5946,127,18,33.44298688
1,11600,6135,5991,128,16,33.45034218
1,11700,6182,6039,128,15,33.45338632
1,11800,6224,6085,128,11,33.45406738
1,11900,6262,6117,128,17,33.44580677
1,12000,6301,6158,130,13,33.45924001
1,12100,6340,6191,131,18,33.45485382
1,12200,6387,6241,132,14,33.45697805
1,12300,6428,6279,135,14,33.45803472
1,12400,6481,6330,135,16,33.46082148
1,12500,6520,6369,136,15,33.45956979
1,12600,6566,6410,138,18,33.45865835
1,12700,6628,6471,138,19,33.46051615
1,12800,6664,6513,141,10,33.45524336
1,12900,6708,6550,142,16,33.45465649
1,13000,6750,6595,143,12,33.45777104
1,13100,6806,6645,143,18,33.45748683
1,13200,6868,6703,147,18,33.45143965
1,13300,6904,6743,147,14,33.45439715
1,13400,6950,6787,147,16,33.45454545
1,13500,7000,6840,147,13,33.46081871
1,13600,7054,6892,147,15,33.46111434
1,13700,7110,6942,148,20,33.45808124
1,13800,7166,6999,150,17,33.45377911
1,13900,7210,7040,152,18,33.45866477
1,14000,7258,7091,154,13,33.46594274
