episode,time,TTL,DECISION,LINK_CAP,NODE_CAP
1,0,0,0,0,0
1,100,0,0,0,27
1,200,0,0,0,62
1,300,0,0,0,99
1,400,0,0,0,143
1,500,0,0,0,176
1,600,0,0,0,204
1,700,0,0,0,238
1,800,0,0,0,279
1,900,0,0,0,309
1,1000,0,0,0,346
1,1100,0,0,0,378
1,1200,0,0,0,404
1,1300,0,0,0,431
1,1400,0,0,0,455
1,1500,0,0,0,488
1,1600,0,0,0,515
1,1700,0,0,0,547
1,1800,0,0,0,581
1,1900,0,0,0,602
1,2000,0,0,0,634
1,2100,0,0,0,664
1,2200,0,0,0,702
1,2300,0,0,0,724
1,2400,0,0,0,764
1,2500,0,0,0,799
1,2600,0,0,0,831
1,2700,0,0,0,864
1,2800,0,0,0,902
1,2900,0,0,0,936
1,3000,0,0,0,973
1,3100,0,0,0,1014
1,3200,0,0,0,1048
1,3300,0,0,0,1083
1,3400,0,0,0,1123
1,3500,0,0,0,1157
1,3600,0,0,0,1189
1,3700,0,0,0,1220
1,3800,0,0,0,1255
1,3900,0,0,0,1296
1,4000,0,0,0,1327
1,4100,0,0,0,1354
1,4200,0,0,0,1396
1,4300,0,0,0,1423
1,4400,0,0,0,1452
1,4500,0,0,0,1476
1,4600,0,0,0,1494
1,4700,0,0,0,1530
1,4800,0,0,0,1556
1,4900,0,0,0,1585
1,5000,0,0,0,1607
1,5100,0,0,0,1643
1,5200,0,0,0,1683
1,5300,0,0,0,1716
1,5400,0,0,0,1746
1,5500,0,0,0,1772
1,5600,0,0,0,1806
1,5700,0,0,0,1833
1,5800,0,0,0,1870
1,5900,0,0,0,1907
1,6000,0,0,0,1946
1,6100,0,0,0,1985
1,6200,0,0,0,2031
1,6300,0,0,0,2066
1,6400,0,0,0,2115
1,6500,0,0,0,2143
1,6600,0,0,0,2182
1,6700,0,0,0,2221
1,6800,0,0,0,2261
1,6900,0,0,0,2303
1,7000,0,0,0,2349
1,7100,0,0,0,2381
1,7200,0,0,0,2411
1,7300,0,0,0,2443
1,7400,0,0,0,2475
1,7500,0,0,0,2519
1,7600,0,0,0,2565
1,7700,0,0,0,2612
1,7800,0,0,0,2657
1,7900,0,0,0,2695
1,8000,0,0,0,2732
1,8100,0,0,0,2772
1,8200,0,0,0,2816
1,8300,0,0,0,2861
1,8400,0,0,0,2907
1,8500,0,0,0,2949
1,8600,0,0,0,2999
1,8700,0,0,0,3042
1,8800,0,0,0,3085
1,8900,0,0,0,3119
1,9000,0,0,0,3166
1,9100,0,0,0,3199
1,9200,0,0,0,3244
1,9300,0,0,0,3278
1,9400,0,0,0,3318
1,9500,0,0,0,3360
1,9600,0,0,0,3407
1,9700,0,0,0,3450
1,9800,0,0,0,3493
1,9900,0,0,0,3526
1,10000,0,0,0,3566
1,10100,0,0,0,3621
1,10200,0,0,0,3655
1,10300,0,0,0,3693
1,10400,0,0,0,3731
1,10500,0,0,0,3757
1,10600,0,0,0,3797
1,10700,0,0,0,3843
1,10800,0,0,0,3881
1,10900,0,0,0,3913
1,11000,0,0,0,3941
1,11100,0,0,0,3978
1,11200,0,0,0,4002
1,11300,0,0,0,4036
1,11400,0,0,0,4072
1,11500,0,0,0,4114
1,11600,0,0,0,4148
1,11700,0,0,0,4193
1,11800,0,0,0,4233
1,11900,0,0,0,4269
1,12000,0,0,0,4303
1,12100,0,0,0,4342
1,12200,0,0,0,4384
1,12300,0,0,0,4414
1,12400,0,0,0,4456
1,12500,0,0,0,4498
1,12600,0,0,0,4535
1,12700,0,0,0,4579
1,12800,0,0,0,4614
1,12900,0,0,0,4652
1,13000,0,0,0,4690
1,13100,0,0,0,4725
1,13200,0,0,0,4768
1,13300,0,0,0,4809
1,13400,0,0,0,4843
1,13500,0,0,0,4891
1,13600,0,0,0,4943
1,13700,0,0,0,4989
1,13800,0,0,0,5032
1,13900,0,0,0,5080
1,14000,0,0,0,5125
1,14100,0,0,0,5172
1,14200,0,0,0,5209
1,14300,0,0,0,5257
1,14400,0,0,0,5299
1,14500,0,0,0,5347
1,14600,0,0,0,5394
1,14700,0,0,0,5443
1,14800,0,0,0,5484
1,14900,0,0,0,5528
1,15000,0,0,0,5567
1,15100,0,0,0,5607
1,15200,0,0,0,5645
1,15300,0,0,0,5680
1,15400,0,0,0,5718
1,15500,0,0,0,5750
1,15600,0,0,0,5790
1,15700,0,0,0,5830
1,15800,0,0,0,5881
1,15900,0,0,0,5911
1,16000,0,0,0,5964
1,16100,0,0,0,6012
1,16200,0,0,0,6050
1,16300,0,0,0,6099
1,16400,0,0,0,6156
1,16500,0,0,0,6200
1,16600,0,0,0,6233
1,16700,0,0,0,6273
1,16800,0,0,0,6319
1,16900,0,0,0,6362
1,17000,0,0,0,6407
1,17100,0,0,0,6458
1,17200,0,0,0,6511
1,17300,0,0,0,6561
1,17400,0,0,0,6605
1,17500,0,0,0,6645
1,17600,0,0,0,6680
1,17700,0,0,0,6718
1,17800,0,0,0,6767
1,17900,0,0,0,6800
1,18000,0,0,0,6834
1,18100,0,0,0,6888
1,18200,0,0,0,6930
1,18300,0,0,0,6953
1,18400,0,0,0,6995
1,18500,0,0,0,7037
1,18600,0,0,0,7085
1,18700,0,0,0,7125
1,18800,0,0,0,7170
1,18900,0,0,0,7208
1,19000,0,0,0,7249
1,19100,0,0,0,7279
1,19200,0,0,0,7319
1,19300,0,0,0,7363
1,19400,0,0,0,7393
1,19500,0,0,0,7428
1,19600,0,0,0,7459
1,19700,0,0,0,7489
1,19800,0,0,0,7511
1,19900,0,0,0,7545
1,20000,0,0,0,7582
1,20100,0,0,0,7619
1,20200,0,0,0,7663
1,20300,0,0,0,7696
1,20400,0,0,0,7734
1,20500,0,0,0,7778
1,20600,0,0,0,7811
1,20700,0,0,0,7865
1,20800,0,0,0,7903
1,20900,0,0,0,7944
1,21000,0,0,0,7972
1,21100,0,0,0,8013
1,21200,0,0,0,8058
1,21300,0,0,0,8094
1,21400,0,0,0,8132
1,21500,0,0,0,8164
1,21600,0,0,0,8199
1,21700,0,0,0,8231
1,21800,0,0,0,8277
1,21900,0,0,0,8313
1,22000,0,0,0,8349
1,22100,0,0,0,8393
1,22200,0,0,0,8430
1,22300,0,0,0,8485
1,22400,0,0,0,8534
1,22500,0,0,0,8587
1,22600,0,0,0,8627
1,22700,0,0,0,8668
1,22800,0,0,0,8700
1,22900,0,0,0,8754
1,23000,0,0,0,8806
1,23100,0,0,0,8849
1,23200,0,0,0,8898
1,23300,0,0,0,8943
1,23400,0,0,0,8982
1,23500,0,0,0,9022
