episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,0,5,0,0,5,0
1,100,50,10,27,13,29.4
1,200,87,20,62,5,30.85
1,300,135,29,99,7,31.06896551724138
1,400,193,40,143,10,32.5
1,500,237,51,176,10,32.549019607843135
1,600,276,63,204,9,31.476190476190474
1,700,321,74,238,9,31.054054054054053
1,800,370,85,279,6,31.223529411764705
1,900,415,96,309,10,31.104166666666668
1,1000,457,105,346,6,31.37142857142857
1,1100,499,118,378,3,31.084745762711865
1,1200,541,131,404,6,31.106870229007633
1,1300,583,146,431,6,31.28767123287671
1,1400,623,156,455,12,31.153846153846153
1,1500,660,166,488,6,31.367469879518072
1,1600,694,171,515,8,31.35672514619883
1,1700,742,184,547,11,31.266304347826086
1,1800,782,196,581,5,31.433673469387756
1,1900,812,205,602,5,31.521951219512196
1,2000,856,214,634,8,31.574766355140188
1,2100,901,226,664,11,31.63716814159292
1,2200,951,242,702,7,31.85123966942149
1,2300,981,251,724,6,32.00796812749004
1,2400,1039,261,764,14,32.06130268199234
1,2500,1080,277,799,4,32.15884476534296
1,2600,1121,284,831,6,32.147887323943664
1,2700,1163,294,864,5,32.09863945578231
1,2800,1220,309,902,9,32.213592233009706
1,2900,1269,322,936,11,32.130434782608695
1,3000,1316,338,973,5,32.298816568047336
1,3100,1366,347,1014,5,32.262247838616716
1,3200,1411,356,1048,7,32.31741573033708
1,3300,1454,364,1083,7,32.36813186813187
1,3400,1512,377,1123,12,32.41909814323608
1,3500,1559,391,1157,11,32.48337595907928
1,3600,1602,409,1189,4,32.44498777506112
1,3700,1648,417,1220,11,32.44124700239808
1,3800,1694,432,1255,7,32.49768518518518
1,3900,1744,441,1296,7,32.50566893424036
1,4000,1783,449,1327,7,32.487750556792875
1,4100,1827,459,1354,14,32.58605664488017
1,4200,1874,474,1396,4,32.50210970464135
1,4300,1915,483,1423,9,32.53002070393375
1,4400,1958,496,1452,10,32.461693548387096
1,4500,1988,508,1476,4,32.446850393700785
1,4600,2016,516,1494,6,32.46124031007752
1,4700,2063,528,1530,5,32.503787878787875
1,4800,2099,538,1556,5,32.50557620817844
1,4900,2138,547,1585,6,32.59597806215722
1,5000,2170,555,1607,8,32.645045045045045
1,5100,2221,565,1643,13,32.709734513274334
1,5200,2272,581,1683,8,32.75043029259897
1,5300,2320,600,1716,4,32.785
1,5400,2362,610,1746,6,32.795081967213115
1,5500,2396,617,1772,7,32.79740680713128
1,5600,2438,629,1806,3,32.788553259141494
1,5700,2478,637,1833,8,32.783359497645215
1,5800,2529,652,1870,7,32.80368098159509
1,5900,2579,663,1907,9,32.828054298642535
1,6000,2626,673,1946,7,32.821693907875186
1,6100,2681,685,1985,11,32.816058394160585
1,6200,2737,699,2031,7,32.818311874105866
1,6300,2798,715,2066,17,32.872727272727275
1,6400,2853,732,2115,6,32.91256830601093
1,6500,2901,748,2143,10,32.92513368983957
1,6600,2957,762,2182,13,32.922572178477694
1,6700,3008,780,2221,7,32.96410256410256
1,6800,3065,791,2261,13,33.0
1,6900,3118,805,2303,10,33.03354037267081
1,7000,3178,821,2349,8,32.95980511571255
1,7100,3221,832,2381,8,32.95913461538461
1,7200,3271,849,2411,11,32.91519434628975
1,7300,3318,862,2443,13,32.89907192575406
1,7400,3362,879,2475,8,32.888509670079635
1,7500,3414,891,2519,4,32.89337822671156
1,7600,3485,900,2565,20,32.83444444444444
1,7700,3545,919,2612,14,32.867247007616974
1,7800,3602,936,2657,9,32.8440170940171
1,7900,3657,953,2695,9,32.89716684155299
1,8000,3715,967,2732,16,32.88831437435367
1,8100,3762,983,2772,7,32.943031536113935
1,8200,3814,990,2816,8,32.91414141414141
1,8300,3881,1008,2861,12,32.93452380952381
1,8400,3935,1021,2907,7,32.94221351616063
1,8500,3997,1035,2949,13,32.92270531400966
1,8600,4062,1051,2999,12,32.91817316841104
1,8700,4110,1062,3042,6,32.91242937853107
1,8800,4167,1073,3085,9,32.88909599254427
1,8900,4220,1091,3119,10,32.87809349220898
1,9000,4279,1103,3166,10,32.86582048957389
1,9100,4329,1120,3199,10,32.857142857142854
1,9200,4390,1133,3244,13,32.86142983230362
1,9300,4439,1153,3278,8,32.83781439722463
1,9400,4498,1167,3318,13,32.834618680377034
1,9500,4551,1180,3360,11,32.788983050847456
1,9600,4616,1201,3407,8,32.81015820149875
1,9700,4675,1215,3450,10,32.806584362139915
1,9800,4732,1231,3493,8,32.79528838342811
1,9900,4780,1244,3526,10,32.814308681672024
1,10000,4832,1258,3566,8,32.81955484896661
1,10100,4907,1272,3621,14,32.801886792452834
1,10200,4947,1286,3655,6,32.849922239502334
1,10300,4994,1293,3693,8,32.843000773395204
1,10400,5038,1303,3731,4,32.853415195702226
1,10500,5084,1319,3757,8,32.835481425322214
1,10600,5140,1330,3797,13,32.81729323308271
1,10700,5196,1342,3843,11,32.79433681073025
1,10800,5243,1358,3881,4,32.79528718703976
1,10900,5286,1362,3913,11,32.79368575624082
1,11000,5324,1374,3941,9,32.80567685589519
1,11100,5373,1390,3978,5,32.82446043165468
1,11200,5402,1398,4002,2,32.83190271816881
1,11300,5454,1409,4036,9,32.801987224982255
1,11400,5505,1423,4072,10,32.78847505270555
1,11500,5558,1437,4114,7,32.815588030619345
1,11600,5612,1450,4148,14,32.81793103448276
1,11700,5664,1462,4193,9,32.82626538987688
1,11800,5719,1477,4233,9,32.802301963439405
1,11900,5766,1490,4269,7,32.81342281879195
1,12000,5819,1506,4303,10,32.83532536520584
1,12100,5867,1516,4342,9,32.82519788918206
1,12200,5916,1531,4384,1,32.8060091443501
1,12300,5960,1537,4414,9,32.81457384515289
1,12400,6015,1551,4456,8,32.822050290135394
1,12500,6072,1567,4498,7,32.836630504148054
1,12600,6134,1582,4535,17,32.824273072060684
1,12700,6185,1599,4579,7,32.80675422138837
1,12800,6228,1607,4614,7,32.79589296826384
1,12900,6276,1617,4652,7,32.79344465058751
1,13000,6325,1627,4690,8,32.79225568531039
1,13100,6370,1638,4725,7,32.78083028083028
1,13200,6428,1650,4768,10,32.807272727272725
1,13300,6481,1664,4809,8,32.82331730769231
1,13400,6532,1677,4843,12,32.82707215265355
1,13500,6600,1692,4891,17,32.829196217494086
1,13600,6666,1709,4943,14,32.81919251023991
1,13700,6728,1729,4989,10,32.85540775014459
1,13800,6783,1742,5032,9,32.83811710677382
