episode,time,node,node_capacity,used_resources,ingress_traffic
1,0,pop0,0,0.0,0
1,0,pop1,7,0.0,0
1,0,pop2,0,0.0,0
1,0,pop3,14,0.0,0
1,0,pop4,7,0.0,0
1,0,pop5,14,0.0,0
1,0,pop6,0,0.0,0
1,0,pop7,0,0.0,0
1,0,pop8,14,0.0,0
1,0,pop9,7,0.0,0
1,0,pop10,7,0.0,0
1,100,pop0,0,0.0,5.0
1,100,pop1,7,3.0,10.0
1,100,pop2,0,0.0,10.0
1,100,pop3,14,3.0,11.0
1,100,pop4,7,1.0,14.0
1,100,pop5,14,4.0,0
1,100,pop6,0,0.0,0
1,100,pop7,0,0.0,0
1,100,pop8,14,4.0,0
1,100,pop9,7,2.0,0
1,100,pop10,7,2.0,0
1,200,pop0,0,0.0,7.0
1,200,pop1,7,2.0,5.0
1,200,pop2,0,0.0,9.0
1,200,pop3,14,2.0,9.0
1,200,pop4,7,3.0,7.0
1,200,pop5,14,3.0,0
1,200,pop6,0,0.0,0
1,200,pop7,0,0.0,0
1,200,pop8,14,3.0,0
1,200,pop9,7,2.0,0
1,200,pop10,7,2.0,0
1,300,pop0,0,0.0,13.0
1,300,pop1,7,2.0,6.0
1,300,pop2,0,0.0,7.0
1,300,pop3,14,3.0,9.0
1,300,pop4,7,3.0,13.0
1,300,pop5,14,3.0,0
1,300,pop6,0,0.0,0
1,300,pop7,0,0.0,0
1,300,pop8,14,2.0,0
1,300,pop9,7,3.0,0
1,300,pop10,7,1.0,0
1,400,pop0,0,0.0,9.0
1,400,pop1,7,4.0,14.0
1,400,pop2,0,0.0,13.0
1,400,pop3,14,2.0,12.0
1,400,pop4,7,2.0,10.0
1,400,pop5,14,2.0,0
1,400,pop6,0,0.0,0
1,400,pop7,0,0.0,0
1,400,pop8,14,4.0,0
1,400,pop9,7,2.0,0
1,400,pop10,7,2.0,0
1,500,pop0,0,0.0,12.0
1,500,pop1,7,3.0,5.0
1,500,pop2,0,0.0,11.0
1,500,pop3,14,3.0,7.0
1,500,pop4,7,2.0,9.0
1,500,pop5,14,3.0,0
1,500,pop6,0,0.0,0
1,500,pop7,0,0.0,0
1,500,pop8,14,3.0,0
1,500,pop9,7,2.0,0
1,500,pop10,7,3.0,0
1,600,pop0,0,0.0,7.0
1,600,pop1,7,2.0,11.0
1,600,pop2,0,0.0,8.0
1,600,pop3,14,3.0,4.0
1,600,pop4,7,1.0,9.0
1,600,pop5,14,2.0,0
1,600,pop6,0,0.0,0
1,600,pop7,0,0.0,0
1,600,pop8,14,2.0,0
1,600,pop9,7,3.0,0
1,600,pop10,7,3.0,0
1,700,pop0,0,0.0,10.0
1,700,pop1,7,3.0,13.0
1,700,pop2,0,0.0,8.0
1,700,pop3,14,2.0,8.0
1,700,pop4,7,2.0,6.0
1,700,pop5,14,2.0,0
1,700,pop6,0,0.0,0
1,700,pop7,0,0.0,0
1,700,pop8,14,2.0,0
1,700,pop9,7,2.0,0
1,700,pop10,7,3.0,0
1,800,pop0,0,0.0,11.0
1,800,pop1,7,1.0,5.0
1,800,pop2,0,0.0,10.0
1,800,pop3,14,3.0,10.0
1,800,pop4,7,3.0,13.0
1,800,pop5,14,2.0,0
1,800,pop6,0,0.0,0
1,800,pop7,0,0.0,0
1,800,pop8,14,3.0,0
1,800,pop9,7,3.0,0
1,800,pop10,7,2.0,0
1,900,pop0,0,0.0,6.0
1,900,pop1,7,2.0,11.0
1,900,pop2,0,0.0,7.0
1,900,pop3,14,2.0,13.0
1,900,pop4,7,2.0,8.0
1,900,pop5,14,2.0,0
1,900,pop6,0,0.0,0
1,900,pop7,0,0.0,0
1,900,pop8,14,2.0,0
1,900,pop9,7,2.0,0
1,900,pop10,7,3.0,0
1,1000,pop0,0,0.0,6.0
1,1000,pop1,7,2.0,6.0
1,1000,pop2,0,0.0,10.0
1,1000,pop3,14,3.0,8.0
1,1000,pop4,7,4.0,12.0
1,1000,pop5,14,3.0,0
1,1000,pop6,0,0.0,0
1,1000,pop7,0,0.0,0
1,1000,pop8,14,2.0,0
1,1000,pop9,7,2.0,0
1,1000,pop10,7,2.0,0
1,1100,pop0,0,0.0,8.0
1,1100,pop1,7,3.0,10.0
1,1100,pop2,0,0.0,6.0
1,1100,pop3,14,2.0,9.0
1,1100,pop4,7,2.0,9.0
1,1100,pop5,14,2.0,0
1,1100,pop6,0,0.0,0
1,1100,pop7,0,0.0,0
1,1100,pop8,14,5.0,0
1,1100,pop9,7,3.0,0
1,1100,pop10,7,2.0,0
1,1200,pop0,0,0.0,10.0
1,1200,pop1,7,2.0,6.0
1,1200,pop2,0,0.0,11.0
1,1200,pop3,14,3.0,8.0
1,1200,pop4,7,3.0,7.0
1,1200,pop5,14,3.0,0
1,1200,pop6,0,0.0,0
1,1200,pop7,0,0.0,0
