episode,time,total_flows,successful_flows,dropped_flows,in_network_flows,avg_end2end_delay
1,0,5,0,0,5,0
1,100,49,37,0,12,26.2972972972973
1,200,79,71,0,8,26.450704225352112
1,300,122,112,0,10,26.330357142857142
1,400,174,164,0,10,26.835365853658537
1,500,217,200,0,17,26.74
1,600,257,239,0,18,26.98326359832636
1,700,305,290,0,15,26.99310344827586
1,800,333,323,0,10,27.1671826625387
1,900,384,372,0,12,27.311827956989248
1,1000,413,406,0,7,27.182266009852217
1,1100,456,442,0,14,27.30316742081448
1,1200,503,493,0,10,27.227180527383368
1,1300,540,530,0,10,27.250943396226415
1,1400,589,577,0,12,27.341421143847487
1,1500,616,605,0,11,27.355371900826448
1,1600,664,655,2,7,27.348091603053437
1,1700,714,697,2,15,27.32855093256815
1,1800,756,741,2,13,27.251012145748987
1,1900,797,787,2,8,27.257941550190598
1,2000,839,827,2,10,27.223700120918984
1,2100,892,878,2,12,27.158314350797266
1,2200,935,920,2,13,27.170652173913044
1,2300,975,964,2,9,27.192946058091287
1,2400,1011,994,2,15,27.151911468812877
1,2500,1060,1041,2,17,27.14505283381364
1,2600,1105,1095,2,8,27.099543378995435
1,2700,1149,1136,2,11,27.080105633802816
1,2800,1200,1190,2,8,27.044537815126052
1,2900,1230,1222,2,6,27.03355155482815
1,3000,1286,1272,2,12,27.031446540880502
1,3100,1335,1318,2,15,27.041729893778452
1,3200,1389,1372,2,15,27.026239067055393
1,3300,1447,1429,2,16,27.064380685794262
1,3400,1497,1480,2,15,27.105405405405406
1,3500,1553,1535,2,16,27.115960912052117
1,3600,1621,1603,2,16,27.08671241422333
1,3700,1671,1651,2,18,27.09206541490006
1,3800,1732,1708,2,22,27.107728337236534
1,3900,1782,1767,2,13,27.108092812676855
1,4000,1825,1812,2,11,27.141280353200884
1,4100,1881,1867,2,12,27.13872522763792
1,4200,1931,1913,2,16,27.16048092002091
1,4300,1993,1973,2,18,27.157121135326914
1,4400,2055,2041,2,12,27.189122978931895
1,4500,2108,2093,2,13,27.154323936932634
1,4600,2153,2140,2,11,27.162616822429907
1,4700,2209,2185,2,22,27.150572082379863
1,4800,2263,2246,3,14,27.10418521816563
1,4900,2317,2303,3,11,27.095961788970907
1,5000,2370,2351,3,16,27.08762228838792
1,5100,2430,2407,3,20,27.075612796011633
1,5200,2483,2466,3,14,27.080697485806976
1,5300,2547,2528,3,16,27.0751582278481
1,5400,2597,2577,3,17,27.082654249126893
1,5500,2655,2638,5,12,27.067854435178166
1,5600,2714,2689,6,19,27.083302342878394
1,5700,2764,2739,6,19,27.100036509675064
1,5800,2806,2787,6,13,27.088625762468606
1,5900,2856,2839,6,11,27.091229306093695
1,6000,2912,2891,6,15,27.090280179868557
1,6100,2945,2929,6,10,27.082280641857288
1,6200,2977,2962,6,9,27.083051991897367
1,6300,3018,2998,6,14,27.069046030687126
1,6400,3057,3038,6,13,27.079986833443055
1,6500,3099,3078,6,15,27.080571799870047
1,6600,3134,3119,6,9,27.076306508496312
1,6700,3179,3159,6,14,27.0664767331434
1,6800,3218,3204,6,8,27.06023720349563
1,6900,3258,3236,6,16,27.05902348578492
1,7000,3299,3282,6,11,27.068251066422913
1,7100,3344,3329,6,9,27.08801441874437
1,7200,3402,3380,6,16,27.097633136094675
1,7300,3443,3421,6,16,27.094124524992694
1,7400,3488,3469,6,13,27.091380801383686
1,7500,3546,3524,6,16,27.06328036322361
1,7600,3605,3581,6,18,27.063110862887463
1,7700,3660,3638,6,16,27.059923034634416
1,7800,3715,3694,6,15,27.063345966432053
1,7900,3766,3745,6,15,27.068624833110814
1,8000,3815,3794,6,15,27.0611491829204
1,8100,3877,3854,6,17,27.05059678256357
1,8200,3920,3906,6,8,27.06784434203789
1,8300,3978,3951,6,21,27.067577828397873
1,8400,4032,4011,6,15,27.071802543006733
1,8500,4079,4063,6,10,27.095742062515384
1,8600,4126,4107,6,13,27.113951789627464
1,8700,4190,4168,6,16,27.13291746641075
1,8800,4244,4222,6,16,27.151586925627665
1,8900,4299,4284,6,9,27.168067226890756
1,9000,4355,4334,6,15,27.15851407475773
1,9100,4413,4388,6,19,27.168641750227895
1,9200,4453,4435,6,12,27.17316798196167
1,9300,4495,4475,6,14,27.193519553072626
1,9400,4554,4536,6,12,27.20789241622575
1,9500,4596,4576,6,14,27.20388986013986
1,9600,4654,4636,6,12,27.197152717860224
1,9700,4704,4685,6,13,27.18847385272145
1,9800,4744,4731,6,7,27.18008877615726
1,9900,4800,4778,7,15,27.17287568020092
1,10000,4854,4836,7,11,27.15818858560794
1,10100,4904,4879,7,18,27.148800983808158
1,10200,4959,4934,7,18,27.160518848804216
1,10300,5011,4987,7,17,27.161620212552638
1,10400,5053,5035,7,11,27.158887785501488
1,10500,5103,5084,7,12,27.152439024390244
1,10600,5163,5140,7,16,27.16147859922179
1,10700,5223,5199,7,17,27.15502981342566
1,10800,5271,5249,7,15,27.161364069346543
1,10900,5329,5308,7,14,27.157309721175583
1,11000,5378,5359,7,12,27.160850905019593
1,11100,5437,5421,8,8,27.175244419848735
1,11200,5488,5472,8,8,27.17269736842105
1,11300,5527,5509,8,10,27.165365765111634
1,11400,5576,5556,8,12,27.164686825053995
1,11500,5632,5612,8,12,27.16535994297933
1,11600,5668,5652,8,8,27.163305024769993
1,11700,5723,5696,8,19,27.1592345505618
1,11800,5783,5761,8,14,27.149279638951572
1,11900,5837,5817,8,12,27.146639161079595
1,12000,5896,5873,8,15,27.139281457517452
1,12100,5936,5918,8,10,27.135349780331193
1,12200,5999,5976,8,15,27.129852744310575
1,12300,6053,6033,8,12,27.11685728493287
1,12400,6112,6089,8,15,27.113647561175892
1,12500,6170,6148,8,14,27.1023096942095
1,12600,6216,6196,8,12,27.10167850225952
1,12700,6279,6254,9,16,27.104413175567636
1,12800,6339,6315,9,15,27.102137767220903
1,12900,6391,6365,9,17,27.085624509033778
1,13000,6453,6423,9,21,27.089677720691267
1,13100,6502,6479,9,14,27.08921129803982
1,13200,6566,6541,11,14,27.089588747897874
1,13300,6606,6585,11,10,27.08640850417616
1,13400,6664,6634,11,19,27.084564365390413
1,13500,6717,6693,11,13,27.087703570894966
1,13600,6778,6745,11,22,27.086434395848777
1,13700,6833,6805,11,17,27.084643644379135
1,13800,6891,6861,13,17,27.09692464655298
1,13900,6957,6926,13,18,27.092694195784002
1,14000,7026,6993,13,20,27.09023309023309
1,14100,7079,7053,13,13,27.105487026797107
1,14200,7147,7115,13,19,27.10808151791989
1,14300,7207,7174,13,20,27.11290772233064
1,14400,7261,7231,13,17,27.10676255013138
1,14500,7320,7293,13,14,27.107363225010285
1,14600,7377,7347,13,17,27.10112971280795
1,14700,7435,7412,13,10,27.099028602266596
1,14800,7488,7463,13,12,27.10585555406673
1,14900,7542,7513,13,16,27.107413816052176
1,15000,7591,7565,13,13,27.111169861202907
1,15100,7643,7619,13,11,27.107231920199503
1,15200,7694,7670,13,11,27.116558018252935
1,15300,7741,7712,13,16,27.117997925311204
1,15400,7798,7763,13,22,27.121216024732707
1,15500,7853,7827,13,13,27.127507346365146
1,15600,7894,7872,13,9,27.135416666666668
1,15700,7944,7915,13,16,27.127858496525583
1,15800,8000,7964,13,23,27.130210949271724
1,15900,8044,8022,13,9,27.12665170780354
1,16000,8090,8064,13,13,27.125
1,16100,8133,8102,13,18,27.126141693409036
1,16200,8169,8146,13,10,27.132703167198624
1,16300,8219,8192,13,14,27.1314697265625
1,16400,8256,8236,13,7,27.133317144244778
1,16500,8297,8266,13,18,27.13755141543673
1,16600,8347,8324,13,10,27.138635271504086
1,16700,8389,8361,13,15,27.139217796914245
1,16800,8422,8400,13,9,27.138928571428572
1,16900,8457,8436,13,8,27.136083451872924
1,17000,8516,8486,13,17,27.138463351402308
1,17100,8578,8551,13,14,27.13273301368261
1,17200,8634,8603,13,18,27.128559804719284
1,17300,8683,8655,13,15,27.129058347775853
1,17400,8736,8710,13,13,27.125947187141218
1,17500,8780,8753,13,14,27.13469667542557
1,17600,8818,8800,13,5,27.13590909090909
1,17700,8869,8841,13,15,27.136749236511708
1,17800,8920,8889,13,18,27.14264821689729
1,17900,8969,8939,14,16,27.139836670768542
1,18000,9018,8991,14,13,27.141697252808363
1,18100,9071,9039,14,18,27.140944794778182
1,18200,9121,9093,14,14,27.147036181678214
1,18300,9197,9158,15,24,27.15068792312732
1,18400,9262,9228,17,17,27.156263545730386
1,18500,9317,9292,17,8,27.165949203616012
1,18600,9379,9343,17,19,27.170930108102322
1,18700,9431,9400,17,14,27.16851063829787
1,18800,9482,9452,17,13,27.16409225560728
1,18900,9537,9508,17,12,27.159129154396297
1,19000,9583,9553,17,13,27.158902962420182
1,19100,9629,9601,17,11,27.159254244349547
1,19200,9678,9650,17,11,27.156683937823836
1,19300,9736,9702,17,17,27.152339723768296
1,19400,9784,9758,17,9,27.156179544988728
1,19500,9833,9805,17,11,27.167567567567566
1,19600,9884,9850,17,17,27.16934010152284
1,19700,9922,9898,17,7,27.174984845423317
1,19800,9965,9936,17,12,27.167874396135264
1,19900,10005,9975,17,13,27.160401002506266
1,20000,10052,10022,17,13,27.159848333665934
1,20100,10092,10063,17,12,27.159892676140316
1,20200,10145,10118,17,10,27.159814192528167
1,20300,10203,10169,17,17,27.154784147900482
1,20400,10251,10220,17,14,27.16252446183953
1,20500,10305,10274,17,14,27.166342223087405
1,20600,10353,10326,17,10,27.17102459810188
1,20700,10397,10368,17,12,27.167631172839506
1,20800,10442,10411,17,14,27.175775621938335
1,20900,10487,10451,17,19,27.17472012247632
1,21000,10521,10498,17,6,27.17860544865689
1,21100,10566,10539,17,10,27.18085207325173
1,21200,10604,10578,17,9,27.182737757610134
1,21300,10654,10627,17,10,27.18500047049967
1,21400,10707,10672,17,18,27.182533733133432
1,21500,10759,10728,17,14,27.18092841163311
1,21600,10812,10776,17,19,27.176967334818116
1,21700,10868,10835,17,16,27.1798800184587
1,21800,10926,10886,17,23,27.180047767775125
1,21900,10976,10946,19,11,27.183263292526952
1,22000,11024,10992,20,12,27.1875
1,22100,11070,11031,20,19,27.193182848336505
1,22200,11119,11084,20,15,27.200018044027427
1,22300,11160,11128,20,12,27.199946081955428
1,22400,11207,11172,20,15,27.196473326172573
1,22500,11254,11218,20,16,27.196737386343376
1,22600,11307,11268,20,19,27.201189208377706
1,22700,11368,11331,20,17,27.202629953225664
1,22800,11418,11376,20,22,27.210706751054854
1,22900,11466,11431,20,15,27.21835359986003
1,23000,11526,11488,20,18,27.227106545961004
1,23100,11572,11541,20,11,27.228056494237933
1,23200,11627,11595,20,12,27.22984044846917
1,23300,11696,11660,20,16,27.230789022298456
1,23400,11744,11709,20,15,27.231189683149715
1,23500,11809,11770,20,19,27.226168224299066
1,23600,11857,11821,20,16,27.228999238643095
