episode,time,node,sf
1,0,pop1,a
1,0,pop1,c
1,0,pop3,a
1,0,pop3,b
1,0,pop4,c
1,0,pop4,b
1,0,pop4,a
1,0,pop5,b
1,0,pop5,c
1,0,pop8,c
1,0,pop9,a
1,0,pop10,b
1,0,pop10,c
1,100,pop1,c
1,100,pop1,a
1,100,pop3,a
1,100,pop3,b
1,100,pop4,c
1,100,pop4,b
1,100,pop4,a
1,100,pop5,b
1,100,pop5,c
1,100,pop8,c
1,100,pop9,a
1,100,pop10,b
1,100,pop10,c
1,200,pop1,c
1,200,pop1,a
1,200,pop3,a
1,200,pop3,b
1,200,pop4,c
1,200,pop4,b
1,200,pop4,a
1,200,pop5,c
1,200,pop5,b
1,200,pop8,c
1,200,pop9,a
1,200,pop10,b
1,200,pop10,c
1,300,pop1,a
1,300,pop1,c
1,300,pop3,a
1,300,pop3,b
1,300,pop4,c
1,300,pop4,a
1,300,pop4,b
1,300,pop5,b
1,300,pop5,c
1,300,pop8,c
1,300,pop9,a
1,300,pop10,b
1,300,pop10,c
1,400,pop1,a
1,400,pop1,c
1,400,pop3,b
1,400,pop3,a
1,400,pop4,a
1,400,pop4,c
1,400,pop4,b
1,400,pop5,c
1,400,pop5,b
1,400,pop8,c
1,400,pop9,a
1,400,pop10,b
1,400,pop10,c
1,500,pop1,a
1,500,pop1,c
1,500,pop3,b
1,500,pop3,a
1,500,pop4,a
1,500,pop4,c
1,500,pop4,b
1,500,pop5,b
1,500,pop5,c
1,500,pop8,c
1,500,pop9,a
1,500,pop10,b
1,500,pop10,c
1,600,pop1,a
1,600,pop1,c
1,600,pop3,b
1,600,pop3,a
1,600,pop4,c
1,600,pop4,b
1,600,pop4,a
1,600,pop5,c
1,600,pop5,b
1,600,pop8,c
1,600,pop9,a
1,600,pop10,b
1,600,pop10,c
1,700,pop1,a
1,700,pop1,c
1,700,pop3,b
1,700,pop3,a
1,700,pop4,b
1,700,pop4,c
1,700,pop4,a
1,700,pop5,b
1,700,pop5,c
1,700,pop8,c
1,700,pop9,a
1,700,pop10,b
1,700,pop10,c
1,800,pop1,a
1,800,pop1,c
1,800,pop3,a
1,800,pop3,b
1,800,pop4,c
1,800,pop4,b
1,800,pop4,a
1,800,pop5,c
1,800,pop5,b
1,800,pop8,c
1,800,pop9,a
1,800,pop10,b
1,800,pop10,c
1,900,pop1,a
1,900,pop1,c
1,900,pop3,a
1,900,pop3,b
1,900,pop4,a
1,900,pop4,c
1,900,pop4,b
1,900,pop5,c
1,900,pop5,b
1,900,pop8,c
1,900,pop9,a
1,900,pop10,b
1,900,pop10,c
1,1000,pop1,a
1,1000,pop1,c
1,1000,pop3,a
1,1000,pop3,b
1,1000,pop4,a
1,1000,pop4,c
1,1000,pop4,b
1,1000,pop5,b
1,1000,pop5,c
1,1000,pop8,c
1,1000,pop9,a
1,1000,pop10,b
1,1000,pop10,c
1,1100,pop1,c
1,1100,pop1,a
1,1100,pop3,a
1,1100,pop3,b
1,1100,pop4,a
1,1100,pop4,c
1,1100,pop4,b
1,1100,pop5,b
1,1100,pop5,c
1,1100,pop8,c
1,1100,pop9,a
1,1100,pop10,b
1,1100,pop10,c
1,1200,pop1,a
1,1200,pop1,c
1,1200,pop3,a
1,1200,pop3,b
1,1200,pop4,c
1,1200,pop4,b
1,1200,pop4,a
1,1200,pop5,b
1,1200,pop5,c
1,1200,pop8,c
1,1200,pop9,a
1,1200,pop10,b
1,1200,pop10,c
1,1300,pop1,a
1,1300,pop1,c
1,1300,pop3,a
1,1300,pop3,b
1,1300,pop4,c
1,1300,pop4,b
1,1300,pop4,a
